Path,Code File,,Dub,,Comments
ash,ash_export.h,,browser view,,
ash,shell_unittest.cc,,browser view,,
ash,ash_switches.cc,,browser view,,
ash,root_window_controller.cc,,browser view,,
ash,shell.cc,,browser view,,
ash,dip_unittest.cc,,browser view,,
ash\accelerators,magnifier_key_scroller.cc,,browser view,,
ash\accelerators,accelerator_controller.cc,,browser view,,
ash\accelerators,accelerator_controller_unittest.cc,,browser view,,
ash\audio,sounds.cc,,browser view,,
ash\desktop_background,desktop_background_controller_unittest.cc,,browser view,,
ash\desktop_background,desktop_background_controller.cc,,browser view,,
ash\display,display_manager.cc,,browser view,,
ash\display,display_layout_store.cc,,browser view,,
ash\display,display_controller_unittest.cc,,browser view,,
ash\display,display_change_observer_chromeos.cc,,browser view,,
ash\display,display_controller.cc,,browser view,,
ash\display,virtual_keyboard_window_controller_unittest.cc,,browser view,,
ash\display,mirror_window_controller_unittest.cc,,browser view,,
ash\host,window_tree_host_factory_win.cc,,browser view,,
ash\magnifier,magnification_controller.cc,,browser view,,
ash\shelf,shelf_layout_manager.cc,,browser view,,
ash\shelf,shelf_layout_manager_unittest.cc,,browser view,,
ash\shelf,shelf_window_watcher_unittest.cc,,browser view,,
ash\shelf,shelf_model.cc,,browser view,,
ash\shelf,shelf_view.cc,,browser view,,
ash\shelf,shelf_view_unittest.cc,,browser view,,
ash\shelf,shelf_button.cc,,browser view,,
ash\shelf,shelf_window_watcher.cc,,browser view,,
ash\shelf,alternate_app_list_button.cc,,browser view,,
ash\shelf,shelf_model_unittest.cc,,browser view,,
ash\shelf,overflow_button.cc,,browser view,,
ash\shelf,shelf_navigator_unittest.cc,,browser view,,
ash\shelf,shelf_widget.cc,,browser view,,
ash\shell\content_client,shell_browser_main_parts.cc,,browser view,,
ash\system,status_area_widget_delegate.cc,,browser view,,
ash\system\chromeos\audio,tray_audio.cc,,browser view,,
ash\system\chromeos\network,network_state_list_detailed_view.cc,,browser view,,
ash\system\chromeos\network,tray_network.cc,,browser view,,
ash\system\chromeos\power,tray_power.cc,,browser view,,
ash\system\chromeos\power,tray_power_unittest.cc,,browser view,,
ash\system\tray,system_tray.cc,,browser view,,
ash\system\tray,tray_background_view.cc,,browser view,,
ash\system\tray,tray_constants.cc,,browser view,,
ash\system\user,tray_user_unittest.cc,,browser view,,
ash\system\user,tray_user.cc,,browser view,,
ash\system\web_notification,web_notification_tray.cc,,browser view,,
ash\test,ash_test_helper.cc,,browser view,,
ash\test,ash_test_base.cc,,browser view,,
ash\test,test_suite.cc,,browser view,,
ash\touch,touch_observer_hud_unittest.cc,,browser view,,
ash\wm,lock_state_controller_unittest.cc,,browser view,,
ash\wm,system_gesture_event_filter.cc,,browser view,,
ash\wm,system_gesture_event_filter_unittest.cc,,browser view,,
ash\wm,custom_frame_view_ash.cc,,browser view,,
ash\wm,window_positioner.cc,,browser view,,
ash\wm,app_list_controller.cc,,browser view,,
ash\wm,workspace_controller_unittest.cc,,browser view,,
ash\wm,solo_window_tracker_unittest.cc,,browser view,,
ash\wm,lock_state_controller.cc,,browser view,,
ash\wm,window_state.cc,,browser view,,
ash\wm\caption_buttons,frame_maximize_button_unittest.cc,,browser view,,
ash\wm\caption_buttons,frame_caption_button_container_view.cc,,browser view,,
ash\wm\caption_buttons,alternate_frame_size_button_unittest.cc,,browser view,,
ash\wm\caption_buttons,frame_caption_button_container_view_unittest.cc,,browser view,,
ash\wm\dock,docked_window_layout_manager_unittest.cc,,browser view,,
ash\wm\dock,docked_window_layout_manager.cc,,browser view,,
ash\wm\dock,docked_window_resizer_unittest.cc,,browser view,,
ash\wm\overview,window_selector.cc,,browser view,,
ash\wm\panels,panel_layout_manager_unittest.cc,,browser view,,
ash\wm\workspace,snap_sizer_unittest.cc,,browser view,,
ash\wm\workspace,phantom_window_controller_unittest.cc,,browser view,,
ash\wm\workspace,snap_sizer.cc,,browser view,,
ash\wm\workspace,phantom_window_controller.cc,,browser view,,
ash\wm\workspace,workspace_window_resizer.cc,,browser view,,
ash\wm\workspace,workspace_window_resizer_unittest.cc,,browser view,,
build,build_config.h,,browser view,,
chrome\browser,about_flags.cc,,,,
chrome\browser\chromeos,chrome_browser_main_chromeos.cc,,chromeos,,
chrome\browser\chromeos\extensions,wallpaper_private_api.cc,,chromeos,,
chrome\browser\chromeos\login,chrome_restart_request.cc,,chromeos,,
chrome\browser\chromeos\login,screen_locker.cc,,chromeos,,
chrome\browser\chromeos\profiles,profile_list_chromeos_unittest.cc,,chromeos,,
chrome\browser\extensions\api\tabs,tabs_api.cc,,extension,,
chrome\browser\profiles,avatar_menu.cc,,data persistence,,
chrome\browser\ui,browser.cc,,browser view,,
chrome\browser\ui\ash,accelerator_commands_browsertest.cc,,browser view,,
chrome\browser\ui\ash,system_tray_delegate_chromeos.cc,,browser view,,
chrome\browser\ui\ash,volume_controller_browsertest_chromeos.cc,,browser view,,
chrome\browser\ui\ash,ash_init.cc,,browser view,,
