Path,Code File,,Dub
 chrome\browser\chromeos\accessibility,spoken_feedback_browsertest.cc,,chromeos
 chrome\browser\chromeos\accessibility,accessibility_manager_browsertest.cc,,chromeos
 chrome\browser\chromeos\background,sh_user_wallpaper_delegate.cc,,chromeos
 chrome\browser\chromeos\events,event_rewriter.cc,,chromeos
 chrome\browser\chromeos\events,event_rewriter_unittest.cc,,chromeos
 chrome\browser\chromeos\input_method,mode_indicator_controller.cc,,chromeos
 chrome\browser\chromeos\input_method,accessibility.cc,,chromeos
 chrome\browser\chromeos\kiosk_mode,kiosk_mode_settings.cc,,chromeos
 chrome\browser\chromeos\login,login_screen_policy_browsertest.cc,,chromeos
 chrome\browser\chromeos\login,login_utils_browsertest.cc,,chromeos
 chrome\browser\chromeos\login,parallel_authenticator_unittest.cc,,chromeos
 chrome\browser\chromeos\login,captive_portal_window_browsertest.cc,,chromeos
 chrome\browser\chromeos\login,user_image_manager_impl.cc,,chromeos
 chrome\browser\chromeos\login\enrollment,enrollment_screen_browsertest.cc,,chromeos
 chrome\browser\chromeos\login\managed,supervised_user_authentication.cc,,chromeos
 chrome\browser\chromeos\login\screens,update_screen.cc,,chromeos
 chrome\browser\chromeos\login\screens,update_screen_browsertest.cc,,chromeos
 chrome\browser\chromeos\memory,oom_priority_manager.cc,,chromeos
 chrome\browser\chromeos\policy,auto_enrollment_client.cc,,chromeos
 chrome\browser\chromeos\policy,login_screen_default_policy_browsertest.cc,,chromeos
 chrome\browser\chromeos\policy,device_status_collector.cc,,chromeos
 chrome\browser\chromeos\policy,device_system_use_24hour_clock_browsertest.cc,,chromeos
 chrome\browser\chromeos\policy,power_policy_browsertest.cc,,chromeos
 chrome\browser\chromeos\policy,browser_policy_connector_chromeos.cc,,chromeos
 chrome\browser\chromeos\policy,device_local_account_browsertest.cc,,chromeos
 chrome\browser\chromeos\policy,enrollment_handler_chromeos.cc,,chromeos
 chrome\browser\chromeos\policy,user_cloud_policy_manager_factory_chromeos.cc,,chromeos
 chrome\browser\chromeos\power,power_prefs_unittest.cc,,chromeos
 chrome\browser\chromeos\settings,device_settings_provider.cc,,chromeos
 chrome\browser\chromeos\settings,cros_settings.cc,,chromeos
 chrome\browser\chromeos\system,automatic_reboot_manager.cc,,chromeos
 chrome\browser\extensions\api\braille_display_private,braille_display_private_apitest.cc,,extensions
 chrome\browser\policy\cloud,component_cloud_policy_browsertest.cc,,cloud
 chrome\browser\ui,chrome_pages.cc,,ui
 chrome\browser\ui\ash,chrome_shell_delegate_chromeos.cc,,ash
 chrome\browser\ui\ash,session_state_delegate_chromeos.cc,,ash
 chrome\browser\ui\webui,about_ui.cc,,ui
 chrome\browser\ui\webui\chromeos,keyboard_overlay_ui.cc,,ui
 chrome\browser\ui\webui\chromeos,drive_internals_ui.cc,,ui
 chrome\browser\ui\webui\chromeos\first_run,first_run_ui.cc,,ui
 chrome\browser\ui\webui\chromeos\login,kiosk_app_menu_handler.cc,,ui
 chrome\browser\ui\webui\chromeos\login,network_screen_handler.cc,,ui
 chrome\browser\ui\webui\extensions\chromeos,kiosk_apps_handler.cc,,ui
 chrome\browser\ui\webui\help,help_handler.cc,,ui
 chrome\browser\ui\webui\options\chromeos,internet_options_handler.cc,,ui
 chrome\browser\ui\webui\options\chromeos,keyboard_handler.cc,,ui
 chromeos,chromeos_switches.cc,,chromeos
 chromeos\dbus,shill_stub_helper.cc,,chromeos
 chromeos\dbus,update_engine_client.cc,,chromeos
 chromeos\dbus,fake_dbus_thread_manager.cc,,chromeos
 chromeos\dbus,sms_client.cc,,chromeos
 chromeos\dbus,power_manager_client.cc,,chromeos
 chromeos\dbus,dbus_thread_manager.cc,,chromeos
 chromeos\dbus,fake_sms_client.cc,,chromeos
 chromeos\dbus,fake_shill_manager_client.cc,,chromeos
 chromeos\dbus,fake_shill_service_client.cc,,chromeos
 chromeos\login,login_state.cc,,chromeos
 chromeos\login,login_state_unittest.cc,,chromeos
 chromeos\network,network_sms_handler_unittest.cc,,chromeos
 chromeos\network,network_connection_handler.cc,,chromeos
 chromeos\settings,cros_settings_provider.cc,,chromeos
 chromeos\system,statistics_provider.cc,,chromeos
 sync\util,get_session_name_unittest.cc,,util
